shape,abnormal,drop,hexangonal,kite,lozenge,octagonal,pointedoval,quatrofoil,rectangular,round,roundedoval,scutiform,square,trianglepointedup,undeterminedshape,size_area,animal,human,objects,device,undetermined,unassigned,beast,bird,fish,insect,bust,hand,boat,building,container,equipment,naturalproduct,irregular,radial,lattice,fulllength,symbol,hawkhunting,pelicaninpiety,headondish,twoheads,crossedhands,handholdingitem,seated,standing,riding,crucified,apparel,crenellation,tool,weapon,shell,wheatsheaf,stylizedlily,crosses,heart,merchantmark,texts,handholdingbird,halflength,crescent,beastbody,beasthead,doubleheadedeagle,horseshoe,twobirdsdrinking,animalequipment,transport,halflengthwomanholdingchild,halflengthwoman,halflengthman,swine,boarhead,centaur,dragon,hare,lion,lionhead,mermaid,squirrel,stag,staghead,unicorn,unicornhead,wolf,wolfhead,standingwoman,standingman,armouredmanequestrian,seatedwomanholdingchild,axe,shears,arrow,spear,sword,banner,shield,christogram,lionfighting,sheep,griffin,hammer,standingwomanholdingchild,hareonhound,lambandstaff,lionsleeping,standingliturgicalapparel,manfightinganimal,bowandarrow,spearandpennon,seatedman,date_origin,timegroup_c_range,pk_timegroup_c
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,254.47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570,1550-1574,17
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.03,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478,1475-1499,14
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504,1500-1524,15
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522,1500-1524,15
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.92,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,1300-1324,7
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.95,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522,1500-1524,15
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528,1525-1549,16
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532,1525-1549,16
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1538,1525-1549,16
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1468,1450-1474,13
